probe    tensor                                                 n_diff/n      %   1ulp   2ulp  >2ulp maxulp    max|d|
00       QCDQ_/blocks_0_conv_output_dequant/Mul_Dequant        0/78512     0.00      0      0      0      0  0.00e+00
01       /bn/BatchNormalization                            19841/78512    25.27  15980   2714   1147      4  1.91e-06
02       /pool/MaxPool                                      2543/9744     26.10   2293    250      0      2  1.91e-06
03       QCDQ_/blocks_1_conv_output_dequant/Mul_Dequant        0/19712     0.00      0      0      0      0  0.00e+00
04       /bn_1/BatchNormalization                           7916/19712    40.16   7028    205    683     10  9.54e-07
05       /pool_1/MaxPool                                    1163/4928     23.60   1101      9     53      8  9.54e-07
06       QCDQ_/blocks_2_conv_output_dequant/Mul_Dequant        0/5152      0.00      0      0      0      0  0.00e+00
07       /bn_2/BatchNormalization                           2139/5152     41.52   2053     45     41      3  4.77e-07
08       /pool_2/MaxPool                                     348/1120     31.07    338      6      4      3  4.77e-07
09       QCDQ_/blocks_3_conv_output_dequant/Mul_Dequant        0/1280      0.00      0      0      0      0  0.00e+00
10       /bn_3/BatchNormalization                            563/1280     43.98    502     49     12     12  2.38e-07
11       QCDQ_/blocks_4_conv_output_dequant/Mul_Dequant        0/320       0.00      0      0      0      0  0.00e+00
12       /bn_4/BatchNormalization                            146/320      45.62    127     10      9     32  4.77e-07
13       /global_pool/GlobalAveragePool                        8/32       25.00      7      0      1      3  3.58e-07
14       /wrappedInnerForwardImpl_5/Gemm                       7/9        77.78      6      1      0      2  4.77e-07
